@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h1 (5, 10), h99 (5, 10), h14 (3, 10), h56 (3, 10), h4 (2, 10), h80 (4, 10), h87 (5, 10), h32 (9, 10), h45 (9, 10), h5 (5, 10), h94 (10, 10), h55 (4, 10), h24 (2, 10), h58 (1, 10), h90 (7, 10), h39 (8, 10), h57 (4, 10), h26 (0, 10), h31 (4, 10), h35 (9, 10), h97 (7, 10), h100 (4, 10), h30 (6, 10), h78 (3, 10), h44 (9, 10), h73 (9, 10), h96 (8, 10), h75 (1, 10), h22 (9, 10), h68 (5, 10), h72 (10, 10), h69 (5, 10), h11 (3, 10), h47 (0, 10), h49 (6, 10), h83 (3, 10), h34 (6, 10), h2 (7, 10), h10 (5, 10), h88 (3, 10), h41 (7, 10), h50 (0, 10), h27 (3, 10), h7 (5, 10), h71 (2, 10), h79 (9, 10), h17 (3, 10), h28 (10, 10), h21 (2, 10), h67 (9, 10), h91 (5, 10), h65 (3, 10), h8 (3, 10), h48 (4, 10), h70 (9, 10), h60 (5, 10), h64 (7, 10), h20 (0, 10), h89 (10, 10), h37 (0, 10), h18 (4, 10), h53 (4, 10), h66 (6, 10), h76 (2, 10), h33 (5, 10), h12 (5, 10), h77 (5, 10), h3 (0, 10), h61 (0, 10), h74 (6, 10), h63 (2, 10), h43 (6, 10), h59 (9, 10), h29 (10, 10), h13 (2, 10), h93 (1, 10), h9 (0, 10), h95 (8, 10), h19 (3, 10), h42 (5, 10), h15 (7, 10), h36 (0, 10), h6 (10, 10), h82 (7, 10), h84 (4, 10), h52 (0, 10), h98 (10, 10), h92 (1, 10), h25 (10, 10), h62 (1, 10), h16 (3, 10), h23 (1, 10), h54 (1, 10), h40 (8, 10), h38 (5, 10), h81 (5, 10), h86 (2, 10), h46 (2, 10), h51 (0, 10), h85 (9, 10) ;
@End

@PreferenceListsA
r1 : h52, h18, h65, h64, h36 ;
r2 : h26, h90, h50, h22, h84 ;
r3 : h61, h64, h36, h63, h48 ;
r4 : h15, h63, h90, h99, h12 ;
r5 : h5, h73, h34, h14, h33 ;
r6 : h81, h52, h51, h72, h15 ;
r7 : h20, h72, h42, h52, h61 ;
r8 : h91, h32, h86, h41, h90 ;
r9 : h81, h56, h62, h99, h87 ;
r10 : h17, h36, h99, h88, h18 ;
r11 : h14, h56, h60, h87, h96 ;
r12 : h22, h28, h64, h43, h3 ;
r13 : h59, h33, h14, h41, h76 ;
r14 : h70, h90, h38, h48, h11 ;
r15 : h56, h87, h82, h20, h44 ;
r16 : h5, h28, h63, h26, h87 ;
r17 : h19, h3, h96, h73, h58 ;
r18 : h42, h19, h33, h68, h52 ;
r19 : h1, h33, h51, h39, h9 ;
r20 : h26, h56, h82, h51, h4 ;
r21 : h36, h68, h28, h30, h26 ;
r22 : h26, h60, h57, h59, h70 ;
r23 : h55, h63, h56, h48, h38 ;
r24 : h87, h42, h26, h36, h63 ;
r25 : h99, h19, h5, h23, h63 ;
r26 : h88, h1, h43, h40, h95 ;
r27 : h14, h51, h9, h62, h31 ;
r28 : h62, h33, h22, h3, h51 ;
r29 : h28, h47, h63, h69, h36 ;
r30 : h69, h18, h47, h85, h52 ;
r31 : h92, h62, h53, h63, h76 ;
r32 : h34, h26, h20, h70, h86 ;
r33 : h52, h39, h61, h64, h55 ;
r34 : h14, h77, h48, h20, h84 ;
r35 : h57, h41, h10, h96, h51 ;
r36 : h51, h56, h57, h52, h18 ;
r37 : h63, h20, h58, h65, h66 ;
r38 : h59, h18, h90, h67, h56 ;
r39 : h32, h95, h60, h51, h3 ;
r40 : h20, h18, h28, h36, h31 ;
r41 : h32, h70, h99, h19, h9 ;
r42 : h58, h43, h64, h99, h51 ;
r43 : h58, h82, h13, h57, h85 ;
r44 : h4, h3, h50, h36, h95 ;
r45 : h69, h14, h70, h42, h43 ;
r46 : h28, h81, h18, h9, h90 ;
r47 : h97, h56, h9, h22, h52 ;
r48 : h82, h51, h68, h62, h87 ;
r49 : h33, h26, h84, h17, h22 ;
r50 : h64, h39, h12, h63, h60 ;
r51 : h62, h97, h56, h18, h47 ;
r52 : h9, h82, h66, h99, h23 ;
r53 : h98, h3, h20, h64, h57 ;
r54 : h57, h99, h62, h63, h69 ;
r55 : h41, h52, h90, h88, h63 ;
r56 : h68, h97, h39, h85, h24 ;
r57 : h30, h16, h62, h82, h51 ;
r58 : h47, h48, h52, h90, h33 ;
r59 : h80, h63, h13, h52, h34 ;
r60 : h43, h68, h39, h71, h56 ;
r61 : h76, h99, h63, h64, h97 ;
r62 : h52, h36, h93, h56, h14 ;
r63 : h60, h99, h59, h32, h81 ;
r64 : h61, h64, h94, h52, h20 ;
r65 : h58, h99, h98, h14, h36 ;
r66 : h33, h52, h91, h59, h5 ;
r67 : h87, h52, h56, h51, h20 ;
r68 : h63, h93, h18, h64, h58 ;
r69 : h20, h73, h99, h29, h14 ;
r70 : h82, h84, h81, h90, h33 ;
r71 : h69, h57, h16, h48, h63 ;
r72 : h9, h40, h82, h5, h99 ;
r73 : h14, h99, h68, h93, h85 ;
r74 : h81, h80, h70, h52, h57 ;
r75 : h57, h47, h99, h32, h31 ;
r76 : h24, h14, h39, h82, h23 ;
r77 : h20, h50, h52, h66, h85 ;
r78 : h99, h41, h14, h81, h56 ;
r79 : h99, h48, h73, h97, h14 ;
r80 : h33, h3, h11, h39, h64 ;
r81 : h67, h39, h9, h14, h69 ;
r82 : h36, h38, h6, h42, h62 ;
r83 : h82, h81, h4, h39, h36 ;
r84 : h58, h45, h20, h60, h26 ;
r85 : h55, h90, h1, h31, h14 ;
r86 : h26, h62, h99, h84, h36 ;
r87 : h81, h30, h52, h64, h77 ;
r88 : h36, h95, h57, h87, h33 ;
r89 : h22, h56, h61, h63, h3 ;
r90 : h28, h36, h18, h57, h78 ;
r91 : h55, h97, h28, h99, h38 ;
r92 : h25, h39, h56, h90, h87 ;
r93 : h28, h61, h27, h14, h52 ;
r94 : h1, h3, h39, h63, h25 ;
r95 : h99, h96, h33, h9, h87 ;
r96 : h8, h33, h34, h64, h5 ;
r97 : h20, h9, h48, h97, h57 ;
r98 : h56, h37, h20, h11, h6 ;
r99 : h12, h14, h1, h61, h32 ;
r100 : h48, h9, h59, h20, h84 ;
r101 : h33, h82, h36, h64, h91 ;
r102 : h35, h20, h70, h48, h14 ;
r103 : h10, h14, h12, h63, h89 ;
r104 : h14, h51, h22, h6, h89 ;
r105 : h67, h98, h91, h77, h63 ;
r106 : h52, h99, h94, h14, h9 ;
r107 : h9, h97, h33, h57, h15 ;
r108 : h99, h37, h20, h56, h51 ;
r109 : h94, h19, h39, h4, h95 ;
r110 : h96, h48, h26, h39, h20 ;
r111 : h5, h1, h17, h9, h14 ;
r112 : h22, h62, h70, h97, h67 ;
r113 : h87, h63, h51, h9, h82 ;
r114 : h31, h68, h1, h30, h63 ;
r115 : h85, h62, h28, h80, h99 ;
r116 : h5, h82, h7, h64, h22 ;
r117 : h61, h88, h3, h48, h64 ;
r118 : h26, h67, h77, h75, h14 ;
r119 : h90, h20, h31, h62, h28 ;
r120 : h52, h99, h9, h48, h50 ;
r121 : h42, h48, h22, h26, h82 ;
r122 : h4, h14, h27, h73, h99 ;
r123 : h61, h84, h96, h68, h26 ;
r124 : h65, h1, h69, h53, h20 ;
r125 : h44, h26, h47, h64, h90 ;
r126 : h5, h6, h99, h20, h14 ;
r127 : h59, h9, h26, h68, h80 ;
r128 : h59, h99, h60, h97, h11 ;
r129 : h70, h10, h84, h57, h88 ;
r130 : h91, h81, h99, h51, h70 ;
r131 : h69, h22, h58, h28, h78 ;
r132 : h99, h87, h69, h52, h64 ;
r133 : h63, h51, h94, h75, h52 ;
r134 : h21, h47, h98, h30, h97 ;
r135 : h99, h48, h65, h11, h90 ;
r136 : h14, h51, h90, h96, h65 ;
r137 : h63, h33, h20, h23, h92 ;
r138 : h18, h38, h99, h20, h62 ;
r139 : h56, h38, h35, h14, h78 ;
r140 : h64, h14, h3, h26, h22 ;
r141 : h7, h22, h67, h20, h53 ;
r142 : h75, h28, h51, h81, h15 ;
r143 : h14, h18, h33, h57, h55 ;
r144 : h18, h97, h62, h96, h99 ;
r145 : h26, h14, h39, h98, h95 ;
r146 : h84, h70, h63, h14, h56 ;
r147 : h56, h23, h59, h68, h99 ;
r148 : h1, h5, h87, h40, h3 ;
r149 : h26, h56, h99, h64, h11 ;
r150 : h78, h55, h48, h66, h56 ;
r151 : h48, h97, h95, h22, h6 ;
r152 : h59, h1, h11, h82, h67 ;
r153 : h78, h96, h14, h54, h26 ;
r154 : h41, h68, h19, h11, h26 ;
r155 : h60, h3, h56, h1, h81 ;
r156 : h58, h64, h9, h56, h14 ;
r157 : h52, h48, h55, h3, h63 ;
r158 : h25, h38, h34, h10, h33 ;
r159 : h11, h99, h3, h65, h33 ;
r160 : h3, h52, h14, h56, h93 ;
r161 : h52, h99, h26, h78, h47 ;
r162 : h99, h3, h96, h29, h63 ;
r163 : h80, h63, h56, h14, h30 ;
r164 : h58, h49, h40, h5, h89 ;
r165 : h41, h64, h75, h36, h84 ;
r166 : h52, h87, h81, h50, h4 ;
r167 : h48, h63, h79, h33, h60 ;
r168 : h97, h64, h99, h48, h57 ;
r169 : h57, h64, h28, h72, h73 ;
r170 : h36, h96, h89, h19, h97 ;
r171 : h18, h33, h96, h20, h8 ;
r172 : h40, h56, h60, h68, h12 ;
r173 : h33, h70, h14, h68, h84 ;
r174 : h56, h63, h99, h19, h80 ;
r175 : h85, h36, h66, h23, h22 ;
r176 : h18, h64, h26, h16, h99 ;
r177 : h70, h81, h52, h39, h99 ;
r178 : h43, h12, h78, h16, h95 ;
r179 : h64, h42, h72, h68, h65 ;
r180 : h68, h3, h26, h73, h20 ;
